name,native notation,symmetry
10_1,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(g3 g2 c1 c0) f=X(h3 h2 d1 d0) g=X(i3 j0 e1 e0) h=X(j3 i0 f1 f0) i=X(h1 j2 j1 g0) j=X(g1 i2 i1 h0) ['name'='10_1'],reversible
10_2,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 f3 b2) e=X(c1 g0 g3 c2) f=X(d1 h0 i3 d2) g=X(e1 i2 j3 e2) h=X(f1 j2 j1 i0) i=X(h3 j0 g1 f2) j=X(i1 h2 h1 g2) ['name'='10_2'],reversible
10_3,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(g3 h0 c1 c0) f=X(h3 g0 d1 d0) g=X(f1 i0 i3 e0) h=X(e1 j0 j3 f0) i=X(g1 j2 j1 g2) j=X(h1 i2 i1 h2) ['name'='10_3'],reversible
10_4,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(g3 h0 c1 c0) f=X(h3 i0 d1 d0) g=X(j3 j2 h1 e0) h=X(e1 g2 i1 f0) i=X(f1 h2 j1 j0) j=X(i3 i2 g1 g0) ['name'='10_4'],reversible
10_5,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(g3 h0 c1 c0) f=X(h3 i0 d1 d0) g=X(i3 j0 j3 e0) h=X(e1 j2 i1 f0) i=X(f1 h2 j1 g0) j=X(g1 i2 h1 g2) ['name'='10_5'],reversible
10_6,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 g2 f1 c2) f=X(d1 e2 h3 h2) g=X(i3 j0 e1 d2) h=X(j3 i0 f3 f2) i=X(h1 j2 j1 g0) j=X(g1 i2 i1 h0) ['name'='10_6'],reversible
10_7,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 g0 b1 b0) e=X(g3 f0 c1 c0) f=X(e1 h0 i3 d0) g=X(d1 i2 j3 e0) h=X(f1 j2 j1 i0) i=X(h3 j0 g1 f2) j=X(i1 h2 h1 g2) ['name'='10_7'],reversible
10_8,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 g2 h3 c2) f=X(d1 i0 i3 g0) g=X(f3 h0 e1 d2) h=X(g1 j0 j3 e2) i=X(f1 j2 j1 f2) j=X(h1 i2 i1 h2) ['name'='10_8'],reversible
10_9,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 g2 h3 c2) f=X(d1 h2 i3 i2) g=X(j3 h0 e1 d2) h=X(g1 j2 f1 e2) i=X(j1 j0 f3 f2) j=X(i1 i0 h1 g0) ['name'='10_9'],reversible
10_10,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 g2 h3 c2) f=X(d1 i0 j3 g0) g=X(f3 j2 e1 d2) h=X(j1 i2 i1 e2) i=X(f1 h2 h1 j0) j=X(i3 h0 g1 f2) ['name'='10_10'],reversible
