name,kauffman
12a_1,a**5*z**5 - a**5*z**3 + 4*a**4*z**6 - 4*a**4*z**4 + a**4*z**2 + 9*a**3*z**7 - 11*a**3*z**5 + 6*a**3*z**3 - a**3*z + 14*a**2*z**8 - 23*a**2*z**6 + 21*a**2*z**4 - 10*a**2*z**2 + a**2 + 13*a*z**9 - 14*a*z**7 + 5*a*z**3 - a*z + 6*z**10 + 19*z**8 - 72*z**6 + 79*z**4 - 38*z**2 + 6 + z**11/a + 27*z**9/a - 64*z**7/a + 44*z**5/a - 12*z**3/a + 2*z/a + 10*z**10/a**2 + 8*z**8/a**2 - 81*z**6/a**2 + 101*z**4/a**2 - 50*z**2/a**2 + 8/a**2 + z**11/a**3 + 20*z**9/a**3 - 56*z**7/a**3 + 41*z**5/a**3 - 9*z**3/a**3 + z/a**3 + 4*z**10/a**4 + 7*z**8/a**4 - 49*z**6/a**4 + 62*z**4/a**4 - 30*z**2/a**4 + 5/a**4 + 6*z**9/a**5 - 14*z**7/a**5 + 6*z**5/a**5 + 4*z**3/a**5 - 2*z/a**5 + 4*z**8/a**6 - 13*z**6/a**6 + 15*z**4/a**6 - 7*z**2/a**6 + a**(-6) + z**7/a**7 - 3*z**5/a**7 + 3*z**3/a**7 - z/a**7
12a_2,a**8*z**4 + 4*a**7*z**5 - a**7*z**3 + 9*a**6*z**6 - 6*a**6*z**4 + a**6*z**2 + 15*a**5*z**7 - 20*a**5*z**5 + 9*a**5*z**3 - a**5*z + 18*a**4*z**8 - 33*a**4*z**6 + 21*a**4*z**4 - 8*a**4*z**2 + a**4 + 14*a**3*z**9 - 20*a**3*z**7 - 7*a**3*z**5 + 11*a**3*z**3 - a**3*z + 6*a**2*z**10 + 12*a**2*z**8 - 75*a**2*z**6 + 83*a**2*z**4 - 35*a**2*z**2 + 4*a**2 + a*z**11 + 22*a*z**9 - 77*a*z**7 + 73*a*z**5 - 25*a*z**3 + 4*a*z + 9*z**10 - 13*z**8 - 41*z**6 + 85*z**4 - 48*z**2 + 8 + z**11/a + 11*z**9/a - 56*z**7/a + 79*z**5/a - 42*z**3/a + 8*z/a + 3*z**10/a**2 - 6*z**8/a**2 - 13*z**6/a**2 + 39*z**4/a**2 - 29*z**2/a**2 + 6/a**2 + 3*z**9/a**3 - 14*z**7/a**3 + 23*z**5/a**3 - 16*z**3/a**3 + 4*z/a**3 + z**8/a**4 - 5*z**6/a**4 + 9*z**4/a**4 - 7*z**2/a**4 + 2/a**4
12a_3,a**6*z**6 - 2*a**6*z**4 + 4*a**5*z**7 - 9*a**5*z**5 + 3*a**5*z**3 + 8*a**4*z**8 - 21*a**4*z**6 + 16*a**4*z**4 - 6*a**4*z**2 + a**4 + 9*a**3*z**9 - 23*a**3*z**7 + 21*a**3*z**5 - 10*a**3*z**3 + 3*a**3*z + 5*a**2*z**10 - a**2*z**8 - 22*a**2*z**6 + 33*a**2*z**4 - 15*a**2*z**2 + 2*a**2 + a*z**11 + 15*a*z**9 - 49*a*z**7 + 64*a*z**5 - 35*a*z**3 + 7*a*z + 8*z**10 - 11*z**8 + 13*z**4 - 9*z**2 + 2 + z**11/a + 10*z**9/a - 26*z**7/a + 32*z**5/a - 22*z**3/a + 5*z/a + 3*z**10/a**2 + 2*z**8/a**2 - 6*z**6/a**2 - 4*z**4/a**2 + 5*z**2/a**2 - 1/a**2 + 4*z**9/a**3 - z**7/a**3 - 10*z**5/a**3 + 7*z**3/a**3 - z/a**3 + 4*z**8/a**4 - 5*z**6/a**4 - 5*z**4/a**4 + 8*z**2/a**4 - 2/a**4 + 3*z**7/a**5 - 8*z**5/a**5 + 7*z**3/a**5 - 2*z/a**5 + z**6/a**6 - 3*z**4/a**6 + 3*z**2/a**6 - 1/a**6
12a_4,a**6*z**6 - 2*a**6*z**4 + a**6*z**2 + 4*a**5*z**7 - 8*a**5*z**5 + 5*a**5*z**3 - a**5*z + 8*a**4*z**8 - 16*a**4*z**6 + 13*a**4*z**4 - 7*a**4*z**2 + 2*a**4 + 9*a**3*z**9 - 11*a**3*z**7 - a**3*z**5 + 4*a**3*z**3 - a**3*z + 5*a**2*z**10 + 14*a**2*z**8 - 54*a**2*z**6 + 58*a**2*z**4 - 28*a**2*z**2 + 5*a**2 + a*z**11 + 24*a*z**9 - 52*a*z**7 + 34*a*z**5 - 6*a*z**3 - a*z + 10*z**10 + 12*z**8 - 74*z**6 + 86*z**4 - 40*z**2 + 7 + z**11/a + 24*z**9/a - 52*z**7/a + 34*z**5/a - 6*z**3/a - z/a + 5*z**10/a**2 + 14*z**8/a**2 - 54*z**6/a**2 + 58*z**4/a**2 - 28*z**2/a**2 + 5/a**2 + 9*z**9/a**3 - 11*z**7/a**3 - z**5/a**3 + 4*z**3/a**3 - z/a**3 + 8*z**8/a**4 - 16*z**6/a**4 + 13*z**4/a**4 - 7*z**2/a**4 + 2/a**4 + 4*z**7/a**5 - 8*z**5/a**5 + 5*z**3/a**5 - z/a**5 + z**6/a**6 - 2*z**4/a**6 + z**2/a**6
12a_5,a**10*z**6 - 2*a**10*z**4 + a**10*z**2 + 4*a**9*z**7 - 8*a**9*z**5 + 5*a**9*z**3 - a**9*z + 8*a**8*z**8 - 16*a**8*z**6 + 11*a**8*z**4 - 5*a**8*z**2 + a**8 + 9*a**7*z**9 - 13*a**7*z**7 + 2*a**7*z**5 + 5*a**6*z**10 + 9*a**6*z**8 - 40*a**6*z**6 + 39*a**6*z**4 - 17*a**6*z**2 + 3*a**6 + a**5*z**11 + 20*a**5*z**9 - 47*a**5*z**7 + 39*a**5*z**5 - 16*a**5*z**3 + 3*a**5*z + 9*a**4*z**10 + 2*a**4*z**8 - 39*a**4*z**6 + 48*a**4*z**4 - 22*a**4*z**2 + 4*a**4 + a**3*z**11 + 17*a**3*z**9 - 40*a**3*z**7 + 37*a**3*z**5 - 16*a**3*z**3 + 3*a**3*z + 4*a**2*z**10 + 6*a**2*z**8 - 25*a**2*z**6 + 27*a**2*z**4 - 13*a**2*z**2 + 2*a**2 + 6*a*z**9 - 7*a*z**7 + a*z**5 + 5*z**8 - 8*z**6 + 2*z**4 + z**2 + 3*z**7/a - 7*z**5/a + 5*z**3/a - z/a + z**6/a**2 - 3*z**4/a**2 + 3*z**2/a**2 - 1/a**2
12a_6,a**9*z**5 - a**9*z**3 + 4*a**8*z**6 - 5*a**8*z**4 + 2*a**8*z**2 + 8*a**7*z**7 - 10*a**7*z**5 + 6*a**7*z**3 - 2*a**7*z + 11*a**6*z**8 - 13*a**6*z**6 + 6*a**6*z**4 - a**6*z**2 + a**6 + 10*a**5*z**9 - 4*a**5*z**7 - 16*a**5*z**5 + 20*a**5*z**3 - 7*a**5*z + 5*a**4*z**10 + 17*a**4*z**8 - 57*a**4*z**6 + 55*a**4*z**4 - 24*a**4*z**2 + 5*a**4 + a**3*z**11 + 22*a**3*z**9 - 45*a**3*z**7 + 13*a**3*z**5 + 15*a**3*z**3 - 8*a**3*z + 9*a**2*z**10 + 8*a**2*z**8 - 73*a**2*z**6 + 87*a**2*z**4 - 43*a**2*z**2 + 8*a**2 + a*z**11 + 18*a*z**9 - 48*a*z**7 + 26*a*z**5 + 5*a*z**3 - 5*a*z + 4*z**10 + 6*z**8 - 46*z**6 + 58*z**4 - 29*z**2 + 6 + 6*z**9/a - 14*z**7/a + 5*z**5/a + 6*z**3/a - 3*z/a + 4*z**8/a**2 - 13*z**6/a**2 + 15*z**4/a**2 - 7*z**2/a**2 + a**(-2) + z**7/a**3 - 3*z**5/a**3 + 3*z**3/a**3 - z/a**3
12a_7,a**2*z**6 - a**2*z**4 + 5*a*z**7 - 7*a*z**5 + 2*a*z**3 + 12*z**8 - 23*z**6 + 15*z**4 - 6*z**2 + 2 + 15*z**9/a - 26*z**7/a + 13*z**5/a - 5*z**3/a + z/a + 9*z**10/a**2 + 8*z**8/a**2 - 53*z**6/a**2 + 52*z**4/a**2 - 21*z**2/a**2 + 3/a**2 + 2*z**11/a**3 + 31*z**9/a**3 - 78*z**7/a**3 + 63*z**5/a**3 - 22*z**3/a**3 + 3*z/a**3 + 16*z**10/a**4 - 5*z**8/a**4 - 53*z**6/a**4 + 68*z**4/a**4 - 29*z**2/a**4 + 4/a**4 + 2*z**11/a**5 + 26*z**9/a**5 - 65*z**7/a**5 + 56*z**5/a**5 - 20*z**3/a**5 + 3*z/a**5 + 7*z**10/a**6 + 7*z**8/a**6 - 40*z**6/a**6 + 45*z**4/a**6 - 20*z**2/a**6 + 3/a**6 + 10*z**9/a**7 - 14*z**7/a**7 + 5*z**5/a**7 + 8*z**8/a**8 - 15*z**6/a**8 + 11*z**4/a**8 - 5*z**2/a**8 + a**(-8) + 4*z**7/a**9 - 8*z**5/a**9 + 5*z**3/a**9 - z/a**9 + z**6/a**10 - 2*z**4/a**10 + z**2/a**10
12a_8,a**6*z**6 - 3*a**6*z**4 + 2*a**6*z**2 + 3*a**5*z**7 - 8*a**5*z**5 + 6*a**5*z**3 - 2*a**5*z + 5*a**4*z**8 - 11*a**4*z**6 + 8*a**4*z**4 - 5*a**4*z**2 + 2*a**4 + 6*a**3*z**9 - 11*a**3*z**7 + 6*a**3*z**5 + 2*a**3*z**3 - 3*a**3*z + 4*a**2*z**10 + 2*a**2*z**8 - 22*a**2*z**6 + 36*a**2*z**4 - 24*a**2*z**2 + 6*a**2 + a*z**11 + 14*a*z**9 - 38*a*z**7 + 40*a*z**5 - 13*a*z**3 - a*z + 8*z**10 - 2*z**8 - 29*z**6 + 49*z**4 - 31*z**2 + 8 + z**11/a + 15*z**9/a - 35*z**7/a + 27*z**5/a - 7*z**3/a - z/a + 4*z**10/a**2 + 8*z**8/a**2 - 34*z**6/a**2 + 34*z**4/a**2 - 18*z**2/a**2 + 4/a**2 + 7*z**9/a**3 - 7*z**7/a**3 - 8*z**5/a**3 + 8*z**3/a**3 - 2*z/a**3 + 7*z**8/a**4 - 14*z**6/a**4 + 8*z**4/a**4 - 3*z**2/a**4 + a**(-4) + 4*z**7/a**5 - 9*z**5/a**5 + 6*z**3/a**5 - z/a**5 + z**6/a**6 - 2*z**4/a**6 + z**2/a**6
12a_9,a**8*z**4 - a**8*z**2 + 3*a**7*z**5 - 3*a**7*z**3 + a**7*z + 5*a**6*z**6 - 5*a**6*z**4 + 3*a**6*z**2 - a**6 + 6*a**5*z**7 - 5*a**5*z**5 + a**5*z + 6*a**4*z**8 - 4*a**4*z**6 - 8*a**4*z**4 + 8*a**4*z**2 - 2*a**4 + 6*a**3*z**9 - 10*a**3*z**7 + 4*a**3*z**5 - 4*a**3*z**3 + 2*a**3*z + 4*a**2*z**10 - 5*a**2*z**8 - 6*a**2*z**6 + 3*a**2*z**4 + 2*a**2*z**2 - a**2 + a*z**11 + 9*a*z**9 - 43*a*z**7 + 54*a*z**5 - 29*a*z**3 + 6*a*z + 7*z**10 - 22*z**8 + 9*z**6 + 14*z**4 - 9*z**2 + 2 + z**11/a + 6*z**9/a - 42*z**7/a + 66*z**5/a - 37*z**3/a + 7*z/a + 3*z**10/a**2 - 10*z**8/a**2 + z**6/a**2 + 17*z**4/a**2 - 12*z**2/a**2 + 2/a**2 + 3*z**9/a**3 - 15*z**7/a**3 + 24*z**5/a**3 - 15*z**3/a**3 + 3*z/a**3 + z**8/a**4 - 5*z**6/a**4 + 8*z**4/a**4 - 5*z**2/a**4 + a**(-4)
12a_10,a**10*z**6 - a**10*z**4 + 5*a**9*z**7 - 9*a**9*z**5 + 4*a**9*z**3 + 10*a**8*z**8 - 20*a**8*z**6 + 12*a**8*z**4 - 4*a**8*z**2 + 10*a**7*z**9 - 10*a**7*z**7 - 13*a**7*z**5 + 13*a**7*z**3 - 2*a**7*z + 5*a**6*z**10 + 16*a**6*z**8 - 62*a**6*z**6 + 60*a**6*z**4 - 23*a**6*z**2 + 2*a**6 + a**5*z**11 + 22*a**5*z**9 - 47*a**5*z**7 + 25*a**5*z**5 + a**5*z**3 - a**5*z + 9*a**4*z**10 + 8*a**4*z**8 - 61*a**4*z**6 + 77*a**4*z**4 - 36*a**4*z**2 + 5*a**4 + a**3*z**11 + 18*a**3*z**9 - 42*a**3*z**7 + 38*a**3*z**5 - 15*a**3*z**3 + 3*a**3*z + 4*a**2*z**10 + 7*a**2*z**8 - 29*a**2*z**6 + 35*a**2*z**4 - 19*a**2*z**2 + 3*a**2 + 6*a*z**9 - 7*a*z**7 + 2*a*z**5 - 2*a*z**3 + a*z + 5*z**8 - 8*z**6 + 2*z**4 + z**2 + 3*z**7/a - 7*z**5/a + 5*z**3/a - z/a + z**6/a**2 - 3*z**4/a**2 + 3*z**2/a**2 - 1/a**2
