name,native notation
L6a1++,a=X(b3 b2 c3 d0) b=X(e3 f0 a1 a0) c=X(f3 d2 d1 a2) d=X(a3 c2 c1 e0) e=X(d3 f2 f1 b0) f=X(b1 e2 e1 c0) ['name'='L6a1++']
L6a1+-,a=X(b3 b2 c3 d0) b=X(e3 f0 a1 a0) c=X(f3 d2 d1 a2) d=X(a3 c2 c1 e0) e=X(d3 f2 f1 b0) f=X(b1 e2 e1 c0) ['name'='L6a1+-']
L6a2++,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 f3 b0) e=X(b1 f2 f1 c0) f=X(d1 e2 e1 d2) ['name'='L6a2++']
L6a2+-,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 f3 b0) e=X(b1 f2 f1 c0) f=X(d1 e2 e1 d2) ['name'='L6a2+-']
L6a3++,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(f1 f0 c1 c0) f=X(e1 e0 d1 d0) ['name'='L6a3++']
L6a3+-,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(f1 f0 c1 c0) f=X(e1 e0 d1 d0) ['name'='L6a3+-']
L6a4+++,a=X(b3 c0 d3 e0) b=X(e3 f0 c1 a0) c=X(a1 b2 f3 d0) d=X(c3 f2 e1 a2) e=X(a3 d2 f1 b0) f=X(b1 e2 d1 c2) ['name'='L6a4+++']
L6a4++-,a=X(b3 c0 d3 e0) b=X(e3 f0 c1 a0) c=X(a1 b2 f3 d0) d=X(c3 f2 e1 a2) e=X(a3 d2 f1 b0) f=X(b1 e2 d1 c2) ['name'='L6a4++-']
L6a4+-+,a=X(b3 c0 d3 e0) b=X(e3 f0 c1 a0) c=X(a1 b2 f3 d0) d=X(c3 f2 e1 a2) e=X(a3 d2 f1 b0) f=X(b1 e2 d1 c2) ['name'='L6a4+-+']
L6a4+--,a=X(b3 c0 d3 e0) b=X(e3 f0 c1 a0) c=X(a1 b2 f3 d0) d=X(c3 f2 e1 a2) e=X(a3 d2 f1 b0) f=X(b1 e2 d1 c2) ['name'='L6a4+--']
L6a5+++,a=X(b3 c0 c3 d0) b=X(d3 e0 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 f2 f1 b0) e=X(b1 f0 c1 b2) f=X(e1 d2 d1 c2) ['name'='L6a5+++']
L6a5++-,a=X(b3 c0 c3 d0) b=X(d3 e0 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 f2 f1 b0) e=X(b1 f0 c1 b2) f=X(e1 d2 d1 c2) ['name'='L6a5++-']
L6a5+-+,a=X(b3 c0 c3 d0) b=X(d3 e0 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 f2 f1 b0) e=X(b1 f0 c1 b2) f=X(e1 d2 d1 c2) ['name'='L6a5+-+']
L6a5+--,a=X(b3 c0 c3 d0) b=X(d3 e0 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 f2 f1 b0) e=X(b1 f0 c1 b2) f=X(e1 d2 d1 c2) ['name'='L6a5+--']
L6n1+++,a=X(b0 c0 d3 e3) b=X(a0 e2 f3 c1) c=X(a1 b3 f2 d0) d=X(c3 f1 e0 a2) e=X(d2 f0 b1 a3) f=X(e1 d1 c2 b2) ['name'='L6n1+++']
L6n1++-,a=X(b0 c0 d3 e3) b=X(a0 e2 f3 c1) c=X(a1 b3 f2 d0) d=X(c3 f1 e0 a2) e=X(d2 f0 b1 a3) f=X(e1 d1 c2 b2) ['name'='L6n1++-']
L6n1+-+,a=X(b0 c0 d3 e3) b=X(a0 e2 f3 c1) c=X(a1 b3 f2 d0) d=X(c3 f1 e0 a2) e=X(d2 f0 b1 a3) f=X(e1 d1 c2 b2) ['name'='L6n1+-+']
L6n1+--,a=X(b0 c0 d3 e3) b=X(a0 e2 f3 c1) c=X(a1 b3 f2 d0) d=X(c3 f1 e0 a2) e=X(d2 f0 b1 a3) f=X(e1 d1 c2 b2) ['name'='L6n1+--']
