name,native notation
T0_1,a=V(b0 b2 b1) b=V(a0 a2 a1) ['name'='T0_1']
T3_1,a=V(b0 c0 d3) b=V(a0 d2 e3) c=X(a1 e2 e1 d0) d=X(c3 e0 b1 a2) e=X(d1 c2 c1 b2) ['name'='T3_1']
T4_1,a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 e3 f0) d=X(f3 e0 b1 a2) e=X(d1 f2 f1 c2) f=X(c3 e2 e1 d0) ['name'='T4_1']
T5_1,a=V(b0 c0 d3) b=X(a0 e0 e3 f0) c=X(a1 f2 g3 d0) d=X(c3 g2 e1 a2) e=X(b1 d2 g1 b2) f=V(b3 g0 c1) g=X(f1 e2 d1 c2) ['name'='T5_1']
T5_2,a=V(b0 c0 d3) b=X(a0 d2 e3 e2) c=X(a1 e1 f3 f2) d=X(f1 g0 b1 a2) e=X(g2 c1 b3 b2) f=X(g1 d0 c3 c2) g=V(d1 f0 e0) ['name'='T5_2']
T5_3,a=V(b0 c0 d3) b=X(a0 e0 e3 c1) c=V(a1 b3 d0) d=X(c2 f0 f3 a2) e=X(b1 g0 g3 b2) f=X(d1 g2 g1 d2) g=X(e1 f2 f1 e2) ['name'='T5_3']
T5_4,a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 f1 d0) d=X(c3 g0 g3 a2) e=X(b1 g2 g1 f0) f=X(e3 c2 c1 b2) g=X(d1 e2 e1 d2) ['name'='T5_4']
T5_5,a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 e3 e2) d=X(f3 g0 b1 a2) e=X(g3 f0 c3 c2) f=X(e1 g2 g1 d0) g=X(d1 f2 f1 e0) ['name'='T5_5']
T5_6,a=V(b0 c0 d3) b=V(a0 e0 c1) c=X(a1 b2 f3 d0) d=X(c3 f2 e1 a2) e=X(b1 d2 g3 g2) f=X(g1 g0 d1 c2) g=X(f1 f0 e3 e2) ['name'='T5_6']
T5_7,a=V(b0 c0 d3) b=X(a0 d2 e3 f0) c=V(a1 f3 g0) d=X(g3 g2 b1 a2) e=X(g1 f2 f1 b2) f=X(b3 e2 e1 c1) g=X(c2 e0 d1 d0) ['name'='T5_7']
T6_1,a=V(b0 c3 d3) b=X(a0 d2 e3 f0) c=X(f2 g0 g3 a1) d=X(g2 e0 b1 a2) e=X(d1 h0 h3 b2) f=V(b3 h2 c0) g=X(c1 h1 d0 c2) h=X(e1 g1 f1 e2) ['name'='T6_1']
T6_2,a=V(b0 c3 d3) b=X(a0 e0 f0 c0) c=X(b3 g0 g3 a1) d=X(g2 h0 e1 a2) e=V(b1 d2 h3) f=X(b2 h2 i3 i2) g=X(c1 i1 d0 c2) h=X(d1 i0 f1 e2) i=X(h1 g1 f3 f2) ['name'='T6_2']
T6_3,a=V(b0 c0 d3) b=X(a0 d2 e3 e2) c=X(a1 f0 g3 g2) d=X(g1 h0 b1 a2) e=X(h3 f1 b3 b2) f=V(c1 e1 h2) g=X(h1 d0 c3 c2) h=X(d1 g0 f2 e0) ['name'='T6_3']
T6_4,a=V(b0 c0 d3) b=X(a0 e0 e3 f0) c=X(a1 f3 g3 d0) d=X(c3 g2 h0 a2) e=X(b1 h2 f1 b2) f=X(b3 e2 g0 c1) g=X(f2 h1 d1 c2) h=V(d2 g1 e1) ['name'='T6_4']
T6_5,a=V(b0 c0 d3) b=V(a0 d2 e3) c=X(a1 e2 f3 d0) d=X(c3 f2 b1 a2) e=X(g3 g2 c1 b2) f=X(h3 h2 d1 c2) g=X(h1 h0 e1 e0) h=X(g1 g0 f1 f0) ['name'='T6_5']
T6_6,a=V(b0 c0 d3) b=X(a0 d2 e3 c1) c=V(a1 b3 f0) d=X(g3 g2 b1 a2) e=X(h3 f2 f1 b2) f=X(c2 e2 e1 h2) g=X(h1 h0 d1 d0) h=X(g1 g0 f3 e0) ['name'='T6_6']
T6_7,a=V(b0 c3 d3) b=X(a0 d2 e3 c0) c=X(b3 e2 f3 a1) d=X(f2 g0 b1 a2) e=X(h3 h2 c1 b2) f=X(i3 i2 d0 c2) g=V(d1 i1 h0) h=X(g2 i0 e1 e0) i=X(h1 g1 f1 f0) ['name'='T6_7']
T6_8,a=V(b0 c0 d3) b=X(a0 d2 e3 e2) c=V(a1 f3 g0) d=X(g3 g2 b1 a2) e=X(h3 f0 b3 b2) f=X(e1 h2 h1 c1) g=X(c2 h0 d1 d0) h=X(g1 f2 f1 e0) ['name'='T6_8']
T6_9,a=V(b0 c0 d3) b=X(a0 e0 e3 c1) c=V(a1 b3 f0) d=X(f3 g0 g3 a2) e=X(b1 h0 f1 b2) f=X(c2 e2 h3 d0) g=X(d1 h2 h1 d2) h=X(e1 g2 g1 f2) ['name'='T6_9']
T6_10,a=V(b0 c0 d3) b=X(a0 e0 e3 c1) c=V(a1 b3 f0) d=X(f3 g0 g3 a2) e=X(b1 h0 h3 b2) f=X(c2 h2 g1 d0) g=X(d1 f2 h1 d2) h=X(e1 g2 f1 e2) ['name'='T6_10']
T6_11,a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 g3 d0) d=X(c3 h0 h3 a2) e=X(b1 h2 g1 f0) f=X(e3 g0 c1 b2) g=X(f1 e2 h1 c2) h=X(d1 g2 e1 d2) ['name'='T6_11']
T6_12,a=V(b0 c3 d3) b=X(a0 e0 e3 c0) c=X(b3 f0 g0 a1) d=X(g3 h0 h3 a2) e=X(b1 i0 f1 b2) f=V(c1 e2 i3) g=X(c2 i2 h1 d0) h=X(d1 g2 i1 d2) i=X(e1 h2 g1 f2) ['name'='T6_12']
T6_13,a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 f1 d0) d=X(c3 g0 e1 a2) e=X(b1 d2 g3 h0) f=X(h3 c2 c1 b2) g=X(d1 h2 h1 e2) h=X(e3 g2 g1 f0) ['name'='T6_13']
T6_14,a=V(b0 c0 d3) b=X(a0 d2 e3 f0) c=X(a1 f3 g0 h3) d=X(h2 i3 b1 a2) e=X(g1 f2 f1 b2) f=X(b3 e2 e1 c1) g=V(c2 e0 i2) h=X(j3 j2 d0 c3) i=X(j1 j0 g2 d1) j=X(i1 i0 h1 h0) ['name'='T6_14']
T6_15,a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 g3 d0) d=X(c3 g2 e1 a2) e=X(b1 d2 h3 h2) f=X(h1 g0 c1 b2) g=X(f1 h0 d1 c2) h=X(g1 f0 e3 e2) ['name'='T6_15']
T6_16,a=V(b0 c0 d3) b=V(a0 d2 e3) c=X(a1 f3 g3 g2) d=X(g1 e0 b1 a2) e=X(d1 h3 f0 b2) f=X(e2 i0 i3 c1) g=X(h0 d0 c3 c2) h=X(g0 i2 i1 e1) i=X(f1 h2 h1 f2) ['name'='T6_16']
H0_1,a=V(a1 a0 b0) b=V(a2 b2 b1) ['name'='H0_1']
H2_1,a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 d1 d0) d=X(c3 c2 b1 a2) ['name'='H2_1']
H4_1,a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 e3 e2) d=X(f3 f2 b1 a2) e=X(f1 f0 c3 c2) f=X(e1 e0 d1 d0) ['name'='H4_1']
H5_1,a=V(b0 c0 d3) b=X(a0 d2 e3 c1) c=V(a1 b3 f0) d=X(g3 e0 b1 a2) e=X(d1 g2 f1 b2) f=X(c2 e2 g1 g0) g=X(f3 f2 e1 d0) ['name'='H5_1']
H6_1,a=V(b0 c0 d3) b=X(a0 e0 e3 f0) c=X(a1 f2 g3 g2) d=X(g1 h0 e1 a2) e=X(b1 d2 h3 b2) f=V(b3 h2 c1) g=X(h1 d0 c3 c2) h=X(d1 g0 f1 e2) ['name'='H6_1']
H6_2,a=V(b0 c0 d3) b=X(a0 d2 e3 e2) c=X(a1 f0 f3 g0) d=X(g2 h0 b1 a2) e=X(h3 f1 b3 b2) f=X(c1 e1 h2 c2) g=V(c3 h1 d0) h=X(d1 g1 f2 e0) ['name'='H6_2']
H6_3,a=V(b0 c0 d3) b=X(a0 e0 e3 f0) c=X(a1 f2 g3 d0) d=X(c3 g2 h3 a2) e=X(b1 h2 h1 b2) f=V(b3 g0 c1) g=X(f1 h0 d1 c2) h=X(g1 e2 e1 d2) ['name'='H6_3']
H6_4,a=V(b0 c0 d3) b=X(a0 d2 e3 e2) c=X(a1 e1 f3 g0) d=X(g3 h0 b1 a2) e=X(h2 c1 b3 b2) f=X(h1 g2 g1 c2) g=X(c3 f2 f1 d0) h=V(d1 f0 e0) ['name'='H6_4']
H6_5,a=V(b0 c0 d3) b=X(a0 e0 e3 c1) c=V(a1 b3 d0) d=X(c2 f0 f3 a2) e=X(b1 g0 g3 b2) f=X(d1 h0 h3 d2) g=X(e1 h2 h1 e2) h=X(f1 g2 g1 f2) ['name'='H6_5']
H6_6,a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 g0 g3 d0) d=X(c3 h0 h3 a2) e=X(b1 h2 h1 f0) f=X(e3 g2 g1 b2) g=X(c1 f2 f1 c2) h=X(d1 e2 e1 d2) ['name'='H6_6']
H6_7,a=V(b0 c0 d3) b=X(a0 d2 e3 c1) c=V(a1 b3 f0) d=X(g3 g2 b1 a2) e=X(g1 h0 h3 b2) f=X(c2 h2 h1 g0) g=X(f3 e0 d1 d0) h=X(e1 f2 f1 e2) ['name'='H6_7']
H6_8,a=V(b0 c0 d3) b=X(a0 e0 e3 c1) c=V(a1 b3 f0) d=X(g3 g2 h3 a2) e=X(b1 h2 h1 b2) f=X(c2 h0 g1 g0) g=X(f3 f2 d1 d0) h=X(f1 e2 e1 d2) ['name'='H6_8']
H6_9,a=V(b0 c0 d3) b=X(a0 d2 e3 f0) c=V(a1 f3 g0) d=X(g3 h0 b1 a2) e=X(h3 f2 f1 b2) f=X(b3 e2 e1 c1) g=X(c2 h2 h1 d0) h=X(d1 g2 g1 e0) ['name'='H6_9']
