Name,PD Notation,Alexander,Jones,Conway,Kauffman,HOMFLY
3_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]],1-t+t^2,t+ t^3-t^4,1+z^2,(-a^(-4)-2*a^(-2))*z^(0)+(a^(-5)+a^(-3))*z^(1)+(a^(-4)+a^(-2))*z^(2),(2*v^2-v^4)+v^2*z^2
4_1,[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],1-3*t+t^2,t^(-2)-t^(-1)+ 1-t+ t^2,1-z^2,(-a^(-2)-1-a^2)*z^(0)+(-a^(-1)-a)*z^(1)+(a^(-2)+2+a^2)*z^(2)+(a^(-1)+a)*z^(3),(v^(-2)-1+v^2)-z^2
5_1,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],1-t+t^2-t^3+t^4,t^2+ t^4-t^5+ t^6-t^7,1+3*z^2+z^4,(2*a^(-6)+3*a^(-4))*z^(0)+(a^(-9)-a^(-7)-2*a^(-5))*z^(1)+(a^(-8)-3*a^(-6)-4*a^(-4))*z^(2)+(a^(-7)+a^(-5))*z^(3)+(a^(-6)+a^(-4))*z^(4),(3*v^4-2*v^6)+(4*v^4-v^6)*z^2+v^4*z^4
5_2,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],2-3*t+2*t^2,t-t^2+ 2*t^3-t^4+ t^5-t^6,1+2*z^2,(a^(-6)+a^(-4)-a^(-2))*z^(0)+(-2*a^(-7)-2*a^(-5))*z^(1)+(-2*a^(-6)-a^(-4)+a^(-2))*z^(2)+(a^(-7)+2*a^(-5)+a^(-3))*z^(3)+(a^(-6)+a^(-4))*z^(4),(v^2+v^4-v^6)+(v^2+v^4)*z^2
6_1,[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],2-5*t+2*t^2,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,1-2*z^2,(a^(-4)+a^(-2)-a^2)*z^(0)+(2*a^(-3)+2*a^(-1))*z^(1)+(-3*a^(-4)-4*a^(-2)+a^2)*z^(2)+(-3*a^(-3)-2*a^(-1)+a)*z^(3)+(a^(-4)+2*a^(-2)+1)*z^(4)+(a^(-3)+a^(-1))*z^(5),(v^(-2)-v^2+v^4)+(-1-v^2)*z^2
6_2,[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]],1-3*t+3*t^2-3*t^3+t^4,t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,1-z^2-z^4,(a^(-4)+2*a^(-2)+2)*z^(0)+(-a^(-5)-a^(-3))*z^(1)+(a^(-6)-2*a^(-4)-6*a^(-2)-3)*z^(2)+(2*a^(-5)-2*a^(-1))*z^(3)+(2*a^(-4)+3*a^(-2)+1)*z^(4)+(a^(-3)+a^(-1))*z^(5),(2-2*v^2+v^4)+(1-3*v^2+v^4)*z^2-v^2*z^4
6_3,[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]],1-3*t+5*t^2-3*t^3+t^4,-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,1+z^2+z^4,(a^(-2)+3+a^2)*z^(0)+(-a^(-3)-2*a^(-1)-2*a-a^3)*z^(1)+(-3*a^(-2)-6-3*a^2)*z^(2)+(a^(-3)+a^(-1)+a+a^3)*z^(3)+(2*a^(-2)+4+2*a^2)*z^(4)+(a^(-1)+a)*z^(5),(-v^(-2)+3-v^2)+(-v^(-2)+3-v^2)*z^2+z^4
7_1,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],1-t+t^2-t^3+t^4-t^5+t^6,t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,1+6*z^2+5*z^4+z^6,(-3*a^(-8)-4*a^(-6))*z^(0)+(a^(-13)-a^(-11)+a^(-9)+3*a^(-7))*z^(1)+(a^(-12)-2*a^(-10)+7*a^(-8)+10*a^(-6))*z^(2)+(a^(-11)-3*a^(-9)-4*a^(-7))*z^(3)+(a^(-10)-5*a^(-8)-6*a^(-6))*z^(4)+(a^(-9)+a^(-7))*z^(5)+(a^(-8)+a^(-6))*z^(6),(4*v^6-3*v^8)+(10*v^6-4*v^8)*z^2+(6*v^6-v^8)*z^4+v^6*z^6
7_2,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],3-5*t+3*t^2,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,1+3*z^2,(-a^(-8)-a^(-6)-a^(-2))*z^(0)+(3*a^(-9)+3*a^(-7))*z^(1)+(4*a^(-8)+3*a^(-6)+a^(-2))*z^(2)+(-4*a^(-9)-6*a^(-7)-a^(-5)+a^(-3))*z^(3)+(-4*a^(-8)-3*a^(-6)+a^(-4))*z^(4)+(a^(-9)+2*a^(-7)+a^(-5))*z^(5)+(a^(-8)+a^(-6))*z^(6),(v^2+v^6-v^8)+(v^2+v^4+v^6)*z^2
7_3,[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]],2-3*t+3*t^2-3*t^3+2*t^4,t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,1+5*z^2+2*z^4,(-2*a^(-8)-2*a^(-6)+a^(-4))*z^(0)+(-2*a^(-11)+a^(-9)+3*a^(-7))*z^(1)+(-a^(-10)+6*a^(-8)+4*a^(-6)-3*a^(-4))*z^(2)+(a^(-11)-a^(-9)-4*a^(-7)-2*a^(-5))*z^(3)+(a^(-10)-3*a^(-8)-3*a^(-6)+a^(-4))*z^(4)+(a^(-9)+2*a^(-7)+a^(-5))*z^(5)+(a^(-8)+a^(-6))*z^(6),(v^4+2*v^6-2*v^8)+(3*v^4+3*v^6-v^8)*z^2+(v^4+v^6)*z^4
