2 - 1 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 2 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 3 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 4 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 5 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 6 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 7 - 1 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 8 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 9 - 1 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 10 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 11 - 2 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 12 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 13 - 2 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 14 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 15 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 16 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 17 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 18 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 19 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 20 - 4 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - t**2 - t + 1 - 1/t + t**(-2) - A**8 - A**4 + 1 - 1/A**4 + A**(-8)
2 - 21 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 22 - 1 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 23 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 24 - 3 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t - 1/t**2 + 2/t**3 - 1/t**4 + t**(-5) - 1/t**6 - A**(-4) - 1/A**8 + 2/A**12 - 1/A**16 + A**(-20) - 1/A**24
2 - 25 - 4 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - t**2 - t + 1 - 1/t + t**(-2) - A**8 - A**4 + 1 - 1/A**4 + A**(-8)
2 - 26 - 2 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 27 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
