Name,PD
t0_1,"V[0,1,2],V[0,2,1]"
+t3_1,"V[0,1,2],V[1,3,4],X[5,6,3,0],X[7,5,2,8],X[6,7,8,4]"
-t3_1,"V[0,1,2],V[1,3,4],X[0,5,6,3],X[7,8,5,2],X[4,6,8,7]"
t4_1.1,"V[0,1,2],V[3,4,1],X[2,4,5,6],X[7,8,9,5],X[8,10,6,9],X[3,0,10,7]"
t4_1.2,"V[0,1,2],V[3,4,1],X[4,5,6,2],X[7,8,5,9],X[10,6,8,7],X[0,10,9,3]"
t5_1.1,"V[0,1,2],V[3,4,5],X[6,7,0,8],X[9,6,10,3],X[5,1,7,9],X[11,10,8,12],X[4,11,12,2]"
t5_1.2,"V[0,1,2],V[3,4,5],X[6,0,7,8],X[8,9,3,10],X[1,6,10,5],X[9,7,11,12],X[12,11,2,4]"
+t5_2,"V[0,1,2],V[3,4,5],X[1,6,7,8],X[9,10,2,11],X[10,9,5,12],X[6,0,12,4],X[3,11,8,7]"
-t5_2,"V[0,1,2],V[3,4,5],X[6,1,7,8],X[9,10,11,2],X[12,11,10,5],X[0,12,4,7],X[8,3,9,6]"
+t5_3,"V[0,1,2],V[3,4,1],X[4,5,6,2],X[5,7,8,6],X[7,9,10,8],X[9,11,12,10],X[11,3,0,12]"
-t5_3,"V[0,1,2],V[3,4,1],X[2,4,5,6],X[6,5,7,8],X[8,7,9,10],X[10,9,11,12],X[12,11,3,0]"
+t5_4,"V[0,1,2],V[3,0,4],X[4,5,6,7],X[5,2,8,6],X[1,9,10,8],X[9,11,12,10],X[11,3,7,12]"
-t5_4,"V[0,1,2],V[3,0,4],X[5,4,6,7],X[7,6,2,8],X[8,1,9,10],X[10,9,11,12],X[12,11,3,5]"
+t5_5,"V[0,1,2],V[3,1,4],X[5,6,2,3],X[6,5,7,8],X[9,10,8,11],X[11,7,12,9],X[4,0,10,12]"
-t5_5,"V[0,1,2],V[3,1,4],X[3,5,6,2],X[7,6,5,8],X[9,7,10,11],X[8,12,11,10],X[12,4,0,9]"
+t5_6,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[9,10,8,7],X[10,11,4,1],X[6,5,0,12],X[11,9,12,3]"
-t5_6,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[8,9,10,5],X[1,10,11,4],X[12,7,6,0],X[3,11,9,12]"
+t5_7,"V[0,1,2],V[3,1,4],X[5,6,7,2],X[8,9,10,11],X[9,12,0,7],X[12,8,11,4],X[6,5,3,10]"
-t5_7,"V[0,1,2],V[3,1,4],X[2,5,6,7],X[8,9,10,11],X[7,10,12,0],X[4,12,9,8],X[11,6,5,3]"
t6_1.1,"V[0,1,2],V[3,4,5],X[6,5,2,7],X[7,1,8,9],X[8,10,11,12],X[10,0,4,11],X[9,13,14,6],X[3,14,13,12]"
t6_1.2,"V[0,1,2],V[3,4,5],X[5,2,6,7],X[1,8,9,6],X[10,8,11,12],X[12,11,0,4],X[13,14,7,9],X[14,13,10,3]"
+t6_2,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,11,12,9],X[4,1,10,13],X[11,0,14,12],X[13,8,15,5],X[16,15,7,6],X[2,3,16,14]"
-t6_2,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[8,10,11,12],X[1,10,13,4],X[12,11,0,14],X[7,15,5,13],X[15,6,9,16],X[14,2,3,16]"
-t6_3,"V[0,1,2],V[3,4,5],X[1,6,7,8],X[6,9,10,11],X[3,10,9,0],X[12,2,8,13],X[11,5,14,7],X[4,12,13,14]"
