# 1791 diagrams with invariants in native notation
pd; kbsm
('PlanarDiagram', {}, [('Vertex', 'b', (('Endpoint', 'a', 0, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); 1
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 2, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'c', 0, {})), {}), ('Vertex', 'd', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {})]); -1/A**2 + A**(-6) + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'd', (('Endpoint', 'c', 2, {}),), {})]); A**8 + A**6 - A**2
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'e', (('Endpoint', 'c', 1, {}),), {})]); -1/A**2 + A**(-6) + A**(-14)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**14 + A**6 - A**2
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {})]); A**8 + A**6 - A**4 - A**2 + A**(-2)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 2, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {})]); A**14 + A**12 - A**8
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 1, {})), {}), ('Vertex', 'e', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -1/A**8 + A**(-12) + A**(-14)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {})]); A**2 - 1/A**2 - 1/A**4 + A**(-6) + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 1, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -1/A**2 + A**(-6) + A**(-14)
