2,(2,0);$z \rho$
2,(-2,0);$\mathfrak{0}$
2,(2,0),1;$z \rho$
2,(2,1);$z \rho$
2,(2,0),-1;$z \rho$
4,(-2,0);$x$
2,(2,0),2;$z \rho$
2,(2,2);$z \rho$
2,(2,0),(-2,0);$x$
2,(2,1),1;$z \rho$
2,(2,0),1,1;$z \rho$
2,(2,0),(2,0);$x$
4,(2,0);$x$
3,1,(2,0);$x$
2,(2,0),-2;$z \rho$
2,(-2,0),2;$z \rho$
2,(2,(-2,0),0);$z \rho$
2,(2,(-2,0));$z \rho$
2,(2,(2,0));$z \rho$
2,1,2,(-2,0);$x$
4,(-2,0),-1;$z$
2,(2,0),3;$z \rho$
2,(2,3);$z \rho$
2,(2,0),(-2,-1,0);$x$
2,(2,0),(2,0),-1;$z$
4,(2,0),-1;$z$
2,(2,1),2;$z \rho$
2,(2,0),1,2;$z \rho$
2,(2,0),(2,1);$x$
4,(2,0),1;$z$
3,1,(2,1);$x$
2,(2,0),-3;$z \rho$
2,(2,0),-2,-1,0;$z \rho$
2,(2,0),(-2,-1);$x$
3,1,(2,0),1;$z$
4,(2,1);$x$
2,(2,0),1,1,1;$z \rho$
2,(2,1),1,1;$z \rho$
2,(2,0),(2,1,0);$x$
2,(2,0),(2,0),1;$z$
2,(2,0),(-3,0);$x$
2,(2,0),2,1;$z \rho$
2,(2,2),1;$z \rho$
2,(2,0),(3,0);$x$
2,1,2,(2,0);$x$
2,1,1,1,(2,0);$x$
2,(-2,0),2,1;$z \rho$
2,(2,1),(2,0);$x$
2,(2,0),1,(2,0);$x$
2,(2,0),(-2,0),-1;$z$
2,(-2,0),3;$z \rho$
2,(2,1),(-2,0);$x$
2,(3,(-2,0));$z \rho$
3,(2,(-2,0));$x$
2,(2,1,(2,0));$z \rho$
2,1,(2,(2,0));$x$
2,(2,1,(-2,0));$z \rho$
3,(-2,(-2,0));$x$
2,(3,(2,0));$z \rho$
3,(2,(2,0));$x$
2,(2,(-2,0),0),-1;$\mathfrak{1}$
2,(2,(-2,0),0),1;$z \rho$
2,1,(2,(-2,0),0);$z \rho$
2,(2,(-2,0),1);$z \rho$
3,(2,(-2,0),0);$z \rho$
2,(2,(2,0)),-1;$z \rho$
2,(2,(2,1));$z \rho$
2,(2,(2,0)),1;$z \rho$
2,(2,(-2,0)),-1;$\mathfrak{1}$
2,2,2,(-2,0);$x$
2,1,2,(-2,0),-1;$z$
2,1,2,(2,0),-1;$z$
4,(-2,0),-2;$y$
2,(2,1),(-3,0);$x$
2,(2,1),(-2,-1,0);$x$
2,(2,2),(-2,0);$x$
2,(2,0),(2,0),(-2,0);$e$
2,(2,0),4;$z \rho$
2,(2,4);$z \rho$
3,3,(-2,0);$x$
4,(-2,0),(-2,0);$e$
2,(2,0),(-2,0),2;$y$
2,1,(2,1,0),(-2,0);$x$
2,(2,0),(-3,-1,0);$x$
2,(2,0),(3,0),-1;$z$
2,(2,1),3;$z \rho$
2,(2,0),1,3;$z \rho$
2,(2,0),(2,2);$x$
4,(-2,0),(2,0);$e$
4,(2,0),2;$y$
3,1,(2,0),(-2,0);$e$
3,1,(2,2);$x$
2,(2,0),-4;$z \rho$
2,(2,0),-2,-2,0;$z \rho$
2,(2,0),(-3,-1);$x$
6,(-2,0);$x$
2,(2,0),(-2,-1),-1;$z$
3,1,(2,0),2;$y$
4,(2,2);$x$
2,(2,0),1,1,2;$z \rho$
2,(2,1),1,2;$z \rho$
2,(2,0),(2,0),2;$y$
2,(2,0),(2,1,1);$x$
2,(2,0),(-2,-1,-1,0);$x$
2,(2,0),(-3,0),1;$z$
2,(2,0),(-2,0),(2,0);$e$
2,(2,0),2,2;$z \rho$
2,(2,2),2;$z \rho$
2,(2,0),(3,1);$x$
2,1,2,(2,0),1;$z$
2,1,1,1,(2,1);$x$
2,(-2,0),2,1,1;$z \rho$
2,(-2,0),2,2;$z \rho$
4,(-3,-1,0);$z \rho$
4,(4,0);$z \rho$
4,(-2,0),2;$y$
2,(2,1),(2,1);$x$
2,(2,0),1,(2,1);$x$
3,(3,0),(2,0);$x$
2,(2,0),(-3,0),-1;$z$
2,(2,0),(-2,-1,0),-1;$z$
2,(2,1),(2,0),1;$z$
2,(2,0),1,(2,0),1,0;$z$
2,1,1,1,(2,0),1;$z$
2,1,2,(2,1);$x$
4,(2,0),(2,0);$e$
2,(2,0),2,1,1;$z \rho$
2,(2,2),1,1;$z \rho$
2,(2,0),(3,1,0);$x$
2,(2,0),(3,0),1;$z$
2,(2,0),(-2,-2,0);$x$
2,(2,1),1,1,1;$z \rho$
