0;$\mathfrak{0}$
1;$\mathfrak{1}$
2;$z \rho$
3;$z \rho$
2,1;$z \rho$
4;$z \rho$
2,2;$z \rho$
2,1,1;$z \rho$
3,1;$z \rho$
5;$z \rho$
2,3;$z \rho$
2,1,2;$z \rho$
3,2;$z \rho$
3,1,1;$z \rho$
2,1,1,1;$z \rho$
2,2,1;$z \rho$
4,1;$z \rho$
3,(-2,0);$x$
3,(2,0);$x$
2,1,(2,0);$x$
6;$z \rho$
2,4;$z \rho$
2,1,3;$z \rho$
3,3;$z \rho$
3,1,2;$z \rho$
2,1,1,2;$z \rho$
2,2,2;$z \rho$
4,2;$z \rho$
4,1,1;$z \rho$
2,2,1,1;$z \rho$
2,1,1,1,1;$z \rho$
3,1,1,1;$z \rho$
3,2,1;$z \rho$
2,1,2,1;$z \rho$
2,3,1;$z \rho$
5,1;$z \rho$
2,2,(-2,0);$x$
3,(-2,0),-1;$z$
3,(2,0),-1;$z$
3,(-2,-1,0);$z \rho$
3,(2,0),1;$z$
2,1,(2,1);$x$
2,1,(2,0),1;$z$
3,(2,1);$x$
3,(3,0);$z \rho$
2,1,(2,1,0);$z \rho$
2,2,(2,0);$x$
2,1,1,(2,0);$x$
3,(2,1,0);$x$
3,(-3,0);$\overline{zx}$
7;$z \rho$
2,5;$z \rho$
2,1,4;$z \rho$
3,4;$z \rho$
3,1,3;$z \rho$
2,1,1,3;$z \rho$
2,2,3;$z \rho$
4,3;$z \rho$
4,1,2;$z \rho$
2,2,1,2;$z \rho$
2,1,1,1,2;$z \rho$
3,1,1,2;$z \rho$
3,2,2;$z \rho$
2,1,2,2;$z \rho$
2,3,2;$z \rho$
5,2;$z \rho$
5,1,1;$z \rho$
2,3,1,1;$z \rho$
2,1,2,1,1;$z \rho$
3,2,1,1;$z \rho$
3,1,1,1,1;$z \rho$
2,1,1,1,1,1;$z \rho$
2,2,1,1,1;$z \rho$
4,1,1,1;$z \rho$
4,2,1;$z \rho$
2,2,2,1;$z \rho$
2,1,1,2,1;$z \rho$
3,1,2,1;$z \rho$
3,3,1;$z \rho$
2,1,3,1;$z \rho$
2,4,1;$z \rho$
6,1;$z \rho$
3,(-2,-2,0);$x$
3,2,(-2,0);$x$
4,(-3,0);$x$
2,2,(-2,0),-1;$z$
2,2,(2,0),-1;$z$
3,(-2,0),-2;$y$
3,(-2,0),(-2,0);$e$
3,(-2,0),(2,0);$e$
2,3,(-2,0);$x$
3,(-2,-1,0),-1;$z \rho$
3,(-2,0),2;$y$
3,(-2,-1,-1,0);$x$
5,(-2,0);$x$
3,(2,0),2;$y$
2,1,(2,2);$x$
2,1,(2,0),2;$y$
3,(2,2);$x$
2,1,(2,0),(-2,0);$e$
3,(3,0),1;$z \rho$
4,(-2,-1,0);$x$
2,1,(2,1,1);$z \rho$
2,2,(2,0),1;$z$
2,1,1,(2,1);$x$
3,(3,0),-1;$z \rho$
3,(2,1,1);$x$
3,(2,1,0),1;$z$
2,1,1,(2,0),1;$z$
2,2,(2,1);$x$
2,1,(2,1,0),1;$z \rho$
4,(3,0);$x$
3,(2,0),(2,0);$e$
3,(3,1);$z \rho$
3,(2,1),1;$z$
2,1,(2,0),1,1;$y$
2,1,(2,1),1;$z$
3,(2,0),1,1;$y$
5,(2,0);$x$
3,(2,0),(-2,0);$e$
3,1,(2,1,0);$x$
3,(2,2,0);$x$
2,1,(2,0),(2,0);$e$
4,1,(2,0);$x$
2,3,(2,0);$x$
2,1,1,(2,1,0);$x$
3,(2,0),-2;$y$
