9 bcdefghi,aihdc,abd,acbhgfe,adf,aedg,afdh,agdbi,ahb
9 bcdefgh,ahi,aid,acihgfe,adf,aedg,afdh,agdib,bhdc
9 bcdefg,ahi,aid,acie,adif,aeihg,afh,bgfi,bhfedc
9 bcdefg,agh,ahgd,acgie,adi,aig,afidchb,bgc,dgfe
9 bcdef,agh,ahi,aihe,adhgf,aeg,bfeh,bgedic,chd
9 bcdef,agh,ahi,aie,adhgf,aeg,bfeh,bgeic,chd
9 bcdef,agh,ahi,aie,adgf,aeg,bfeh,bgic,chd
9 bcdef,agh,ahi,aihe,adhgf,aeg,bfe,bedic,chd
9 bcdef,agh,ahi,aihe,adgf,aeg,bfe,bdic,chd
9 bcdef,afgc,abg,agh,ahi,aihb,bhdc,dgfie,ehf
9 bcde,afgc,abg,agh,ahi,bih,bhdc,dgfie,ehf
9 bcd,aef,afg,agh,bif,begc,cfihd,dgi,ehg
9 bcdef,agehc,abh,ahe,adhbgif,aei,bie,bedc,egf
9 bcde,afg,agd,acgfhie,adi,bhdg,bfdc,dfi,dhe
9 bcdef,ageh,ahi,aie,adihbgf,aeg,bfe,beic,ched
9 bcde,afg,agh,ahgi,aif,beig,bfidhc,cgd,dgfe
9 bcde,afg,agh,ahgi,aif,beig,bfdhc,cgd,dfe
9 bcde,afg,agh,ahi,aif,beig,bfihc,cgd,dgfe
9 bcde,afg,agh,ahi,aif,beig,bfhc,cgd,dfe
9 bcde,afg,agh,ahi,aif,bei,bhc,cgd,dfe
9 bcde,afg,agh,ahgi,aif,bei,bidhc,cgd,dgfe
9 bcde,afg,agh,ahgi,aif,bei,bdhc,cgd,dfe
9 bcde,afg,agh,ahi,aif,bei,bihc,cgd,dgfe
9 bcdef,agc,abghid,aci,aih,ahg,bfhc,cgfe,ced
9 bcdef,agc,abghd,ach,ahi,aig,bfic,ced,egf
9 bcdef,agc,abhd,ach,ahi,aig,bfi,ced,egf
9 bcdef,agc,abheid,aci,aich,ahg,bfh,cgfe,ced
9 bcdef,agc,abhid,aci,aih,ahg,bfh,cgfe,ced
9 bcdef,agc,abehd,ach,ahci,aig,bfi,ced,egf
9 bcdef,agc,abgehd,ach,ahci,aig,bfic,ced,egf
9 bcdefg,ahc,abfeid,aci,aicf,aechg,afh,bgf,ced
9 bcdef,agehc,abh,ahe,adbgif,aei,bie,bdc,egf
9 bcde,afg,agd,acfhie,adi,bhdg,bfc,dfi,dhe
9 bcdefg,agh,ahd,acfie,adi,aidg,afhb,bgc,dfe
9 bcdef,aghc,abh,ahe,adgif,aei,bie,bdc,egf
9 bcde,afg,agd,achie,adi,bhg,bfc,dfi,dhe
9 bcdefg,agh,ahd,achfie,adi,aidg,afhb,bgdc,dfe
9 bcdef,aghc,abh,ahe,adhgif,aei,bie,bedc,egf
9 bcde,afg,agd,acghie,adi,bhg,bfdc,dfi,dhe
9 bcdefg,agh,ahd,achgie,adi,aig,afdhb,bgdc,dfe
9 bcdefg,agh,ahd,achie,adi,aig,afhb,bgdc,dfe
9 bcdefg,agh,ahd,acie,adi,aig,afhb,bgc,dfe
9 bcdefg,agfh,ahfid,aci,aif,aeichbg,afb,bfc,cfed
9 bcdef,agh,ahd,achi,aihgf,aeg,bfeh,bgeidc,dhe
9 bcdef,agh,ahd,achi,aigf,aeg,bfeh,bgidc,dhe
9 bcdefg,ahc,abfied,ace,adci,aichg,afh,bgf,cfe
9 bcdefg,ahc,abied,ace,adci,aihg,afh,bgf,cfe
9 bcdefg,ahc,abhied,ace,adci,aihg,afh,bgfc,cfe
9 bcdefg,ageh,ahi,aie,adihbgf,aeg,afeb,beic,ched
9 bcdef,agh,ahd,ache,adhi,aig,bfih,bgiedc,ehgf
9 bcdef,agh,ahd,ache,adi,aig,bfih,bgidc,ehgf
9 bcde,aefg,ahi,aif,afb,bedihg,bfh,cgfi,chfd
9 bcdef,afeg,ahi,aie,adihgbf,aeb,beh,cgei,ched
9 bcdefg,agc,abgd,ach,ahi,aig,afihcb,dgie,ehgf
9 bcdefgh,ahi,aid,acie,adif,aeihg,afh,agfib,bhfedc
9 bcdefg,ahi,aihd,achfe,adf,aedhg,afh,bgfdci,bhc
9 bcdef,aghdc,abd,acbhe,adh,ahi,bih,bgifed,fhg
9 bcde,afc,abfgd,acg,agh,bigc,cfihed,egi,fhg
9 bcdefg,aghi,aihed,ace,adchf,aeh,ahb,bgfeci,bhc
9 bcdefg,aghi,aid,acihe,adh,ahg,afhb,bgfedi,bhdc
9 bcdef,afgh,aid,acige,adg,agb,bfedih,bgi,chgd
9 bcdefgh,ahi,aihd,achfe,adf,aedhg,afh,agfdcib,bhc
9 bcdefg,ahfdc,abd,acbfe,adf,aedbhig,afi,bif,fhg
9 bcdef,agc,abged,ace,adcghif,aei,bhec,egi,ehf
9 bcdefg,ahfi,aid,acife,adf,aedibhg,afh,bgf,bfdc
9 bcdef,afg,agh,ahgi,aif,aeigb,bfidhc,cgd,dgfe
9 bcdef,afg,agh,ahi,aif,aeigb,bfihc,cgd,dgfe
9 bcdefg,agc,abghid,aci,aih,ahg,afhcb,cgfe,ced
9 bcdefg,agc,abghd,ach,ahi,aig,aficb,ced,egf
9 bcdefg,agc,abhd,ach,ahi,aig,afib,ced,egf
9 bcdefg,agc,abgehd,ach,ahci,aig,aficb,ced,egf
9 bcdefgh,ahgi,aiged,ace,adcgf,aeg,afecibh,agb,bgc
9 bcdefgh,ahfi,aid,acife,adf,aedibhg,afh,agfb,bfdc
9 bcdefg,agfh,aid,acife,adf,aedihbg,afb,bfi,chfd
9 bcdefghi,aic,abid,acie,adigf,aeg,afeh,agi,ahedcb
9 bcdefgh,ahi,aid,achgfe,adf,aedg,afdh,agdib,bhc
9 bcdefg,ahi,aid,acie,adif,aeihg,afh,bgf,bfedc
9 bcdef,afgh,ahi,aig,agf,aegb,bfedh,bgic,chd
9 bcde,aefg,ahi,aif,afb,bedhg,bfh,cgfi,chd
9 bcdef,afgc,abgh,ahi,aig,agb,bfec,cid,dhe
9 bcde,aefg,ahi,aif,afb,bedg,bfh,cgi,chd
9 bcdefg,ahc,abhd,ache,adif,aei,aih,bgdc,egf
9 bcdefg,ageh,ahi,aie,adhbgf,aeg,afeb,beic,chd
9 bcdef,afeg,ahi,aie,adhgbf,aeb,beh,cgei,chd
9 bcdefg,agc,abgd,acgh,ahi,aig,afdcb,die,ehf
9 bcdef,afeg,ahi,aie,adgbf,aeb,beh,cgi,chd
9 bcdefg,agc,abgd,ach,ahi,aig,afcb,die,ehf
9 bcdefgh,ahc,abhd,ache,adif,aei,aih,agdcb,egf
9 bcdefgh,ahc,abhd,ace,adif,aei,aih,agcb,egf
9 bcdefgh,ahi,aid,acie,adif,aeihg,afh,agfb,bfedc
9 bcdefg,ahi,aihd,achfe,adf,aedg,afh,bgdci,bhc
9 bcdef,aghdc,abd,acbe,adh,ahi,bih,bgife,fhg
9 bcde,afc,abfd,acg,agh,bigc,dfihe,egi,fhg
9 bcdef,aghi,aid,acie,adh,ahg,bfh,bgfei,bhdc
9 bcdef,aghi,aid,acie,adh,ahg,bfh,bgfe,bdc
9 bcdefg,ahic,abed,ace,adcf,aei,aih,bgi,bhgf
9 bcdef,agdc,abd,acbe,adh,ahi,bih,egif,fhg
9 bcdefg,aghi,aihed,ace,adcf,aeh,ahb,bgfci,bhc
9 bcdefg,aghi,aid,acie,adh,ahg,afhb,bgfei,bhdc
9 bcdef,afgh,aid,acie,adg,agb,bfeih,bgi,chgd
9 bcdefg,ahc,abhd,achi,aif,aeig,afh,bgdc,dfe
9 bcdef,afgh,aid,acie,adg,agb,bfeh,bgi,chd
9 bcde,afg,ahd,ache,adf,beig,bfi,cid,fhg
9 bcdefgh,aic,abid,acie,adgf,aeg,afeh,agi,bhdc
9 bcdefgh,ahi,aihd,achfe,adf,aedg,afh,agdcib,bhc
9 bcdefg,ahfdc,abd,acbe,adf,aebhig,afi,bif,fhg
9 bcdef,agc,abgd,ace,adghif,aei,bhec,egi,ehf
9 bcdefg,ahfi,aid,acie,adf,aeibhg,afh,bgf,bfdc
9 bcdefg,ahfi,aid,acie,adf,aebhg,afh,bgf,bdc
9 bcdefgh,aigc,abed,ace,adcf,aeg,afbih,agi,bhg
